<<<<<<< HEAD
title,heading,tokens
What are clinical trials and why do people participate? 1,"Clinical research is medical research that involves people like you. When you volunteer to take part in clinical research, you help doctors and researchers learn more about disease and improve health care for people in the future. Clinical research includes all research that involves people.  Types of clinical research include: Epidemiology, which improves the understanding of a disease by studying patterns, causes, and effects of health and disease in specific groups. Behavioral, which improves the understanding of human behavior and how it relates to health and disease. Health services, which looks at how people access health care providers and health care services, how much care costs, and what happens to patients as a result of this care. Clinical trials, which evaluate the effects of an intervention on health outcomes.",158
What are clinical trials and why would I want to take part? 2,"Clinical trials are part of clinical research and at the heart of all medical advances. Clinical trials look at new ways to prevent, detect, or treat disease. Clinical trials can study:  New drugs or new combinations of drugs, New ways of doing surgery, New medical devices, New ways to use existing treatments, New ways to change behaviors to improve health, New ways to improve the quality of life for people with acute or chronic illnesses. The goal of clinical trials is to determine if these treatment, prevention, and behavior approaches are safe and effective. People take part in clinical trials for many reasons. Healthy volunteers say they take part to help others and to contribute to moving science forward. People with an illness or disease also take part to help others, but also to possibly receive the newest treatment and to have added (or extra) care and attention from the clinical trial staff. Clinical trials offer hope for many people and a chance to help researchers find better treatments for others in the future",208
Why is diversity and inclusion important in clinical trials? 3,"People may experience the same disease differently. It’s essential that clinical trials include people with a variety of lived experiences and living conditions, as well as characteristics like race and ethnicity, age, sex, and sexual orientation, so that all communities benefit from scientific advances.",62
How does the research process work? 4,"The idea for a clinical trial often starts in the lab. After researchers test new treatments or procedures in the lab and in animals, the most promising treatments are moved into clinical trials. As new treatments move through a series of steps called phases, more information is gained about the treatment, its risks, and its effectiveness.",70
What are clinical trial protocols? 5,"Clinical trials follow a plan known as a protocol. The protocol is carefully designed to balance the potential benefits and risks to participants, and answer specific research questions. A protocol describes the following: The goal of the study, Who is eligible to take part in the trial, Protections against risks to participants, Details about tests, procedures, and treatments, How long the trial is expected to last, What information will be gathered. A clinical trial is led by a principal investigator (PI). Members of the research team regularly monitor the participants’ health to determine the study’s safety and effectiveness.",122
What is an Institutional Review Board? 6,"Most, but not all, clinical trials in the United States are approved and monitored by an Institutional Review Board (IRB) to ensure that the risks are reduced and are outweighed by potential benefits. IRBs are committees that are responsible for reviewing research in order to protect the rights and safety of people who take part in research, both before the research starts and as it proceeds. You should ask the sponsor or research coordinator whether the research you are thinking about joining was reviewed by an IRB.",106
What is a clinical trial sponsor? 7,"Clinical trial sponsors may be people, institutions, companies, government agencies, or other organizations that are responsible for initiating, managing or financing the clinical trial, but do not conduct the research.",44
What is informed consent? 8,"Informed consent is the process of providing you with key information about a research study before you decide whether to accept the offer to take part. The process of informed consent continues throughout the study. To help you decide whether to take part, members of the research team explain the details of the study. If you do not understand English, a translator or interpreter may be provided. The research team provides an informed consent document that includes details about the study, such as its purpose, how long it’s expected to last, tests or procedures that will be done as part of the research, and who to contact for further information. The informed consent document also explains risks and potential benefits. You can then decide whether to sign the document. Taking part in a clinical trial is voluntary and you can leave the study at any time.",167
What are the types of clinical trials? 9,"There are different types of clinical trials. Prevention trials look for better ways to prevent a disease in people who have never had the disease or to prevent the disease from returning. Approaches may include medicines, vaccines, or lifestyle changes. Screening trials test new ways for detecting diseases or health conditions. Diagnostic trials study or compare tests or procedures for diagnosing a particular disease or condition. Treatment trials test new treatments, new combinations of drugs, or new approaches to surgery or radiation therapy. Behavioral trials evaluate or compare ways to promote behavioral changes designed to improve health. Quality of life trials (or supportive care trials) explore and measure ways to improve the comfort and quality of life of people with conditions or illnesses.",147
What are the phases of clinical trials? 10,"Clinical trials are conducted in a series of steps called “phases.” Each phase has a different purpose and helps researchers answer different questions. Phase I trials: Researchers test a drug or treatment in a small group of people (20–80) for the first time. The purpose is to study the drug or treatment to learn about safety and identify side effects. Phase II trials: The new drug or treatment is given to a larger group of people (100–300) to determine its effectiveness and to further study its safety. Phase III trials: The new drug or treatment is given to large groups of people (1,000–3,000) to confirm its effectiveness, monitor side effects, compare it with standard or similar treatments, and collect information that will allow the new drug or treatment to be used safely. Phase IV trials: After a drug is approved by the FDA and made available to the public, researchers track its safety in the general population, seeking more information about a drug or treatment’s benefits, and optimal use.",213
"What do the terms placebo, randomization, and blinded mean in clinical trials? 11","In clinical trials that compare a new product or therapy with another that already exists, researchers try to determine if the new one is as good, or better than, the existing one. In some studies, you may be assigned to receive a placebo (an inactive product that resembles the test product, but without its treatment value). Comparing a new product with a placebo can be the fastest and most reliable way to show the new product’s effectiveness. However, placebos are not used if you would be put at risk — particularly in the study of treatments for serious illnesses — by not having effective therapy. You will be told if placebos are used in the study before entering a trial. Randomization is the process by which treatments are assigned to participants by chance rather than by choice. This is done to avoid any bias in assigning volunteers to get one treatment or another. The effects of each treatment are compared at specific points during a trial. If one treatment is found superior, the trial is stopped so that the most volunteers receive the more beneficial treatment. ""Blinded"" (or ""masked"") studies are designed to prevent members of the research team and study participants from influencing the results. Blinding allows the collection of scientifically accurate data. In single-blind (""single-masked"") studies, you are not told what is being given, but the research team knows. In a double-blind study, neither you nor the research team are told what you are given; only the pharmacist knows. Members of the research team are not told which participants are receiving which treatment, in order to reduce bias. If medically necessary, however, it is always possible to find out which treatment you are receiving.",350
